LHA_1,LHA_2,DIST
Fernie,Grand Forks,256032.335
Fernie,Trail,202773.79
Fernie,Kettle Valley,292480.939
Fernie,Castlegar,195313.483
Fernie,Creston,123313.534
Fernie,Revelstoke,272965.554
Fernie,Golden,233240.914
Fernie,Windermere,123399.196
Fernie,Arrow Lakes,203873.061
Fernie,Kootenay Lake,146108.535
Fernie,Nelson,170090.232
Fernie,Kimberley,71605.6536
Fernie,Cranbrook,55956.8001
Fernie,Cranbrook,55956.8001
Cranbrook,Central Okanagan,270805.957
Cranbrook,Central Okanagan,270805.957
Cranbrook,Vernon,262932.882
Cranbrook,Vernon,262932.882
Cranbrook,Armstrong/Spallumcheen,267371.56
Cranbrook,Armstrong/Spallumcheen,267371.56
Cranbrook,Enderby,267733.086
Cranbrook,Enderby,267733.086
Cranbrook,Salmon Arm,285503.659
Cranbrook,Salmon Arm,285503.659
Cranbrook,Southern Okanagan,275528.285
Cranbrook,Southern Okanagan,275528.285
Cranbrook,Grand Forks,200075.938
Cranbrook,Grand Forks,200075.938
Cranbrook,Keremeos,300085.698
Cranbrook,Keremeos,300085.698
Cranbrook,Trail,146882.943
Cranbrook,Trail,146882.943
Cranbrook,Kettle Valley,237232.296
Cranbrook,Kettle Valley,237232.296
Cranbrook,Summerland,282322.132
Cranbrook,Summerland,282322.132
Cranbrook,Penticton,276402.332
Cranbrook,Penticton,276402.332
Cranbrook,Castlegar,139560.932
Cranbrook,Castlegar,139560.932
Cranbrook,Creston,70128.7257
Cranbrook,Creston,70128.7257
Cranbrook,Revelstoke,239678.939
Cranbrook,Revelstoke,239678.939
Cranbrook,Golden,218321.131
Cranbrook,Golden,218321.131
Cranbrook,Windermere,114199.509
Cranbrook,Windermere,114199.509
Cranbrook,Arrow Lakes,158155.778
Cranbrook,Arrow Lakes,158155.778
Cranbrook,Kootenay Lake,98949.2963
Cranbrook,Kootenay Lake,98949.2963
Cranbrook,Nelson,115163.71
Cranbrook,Nelson,115163.71
Cranbrook,Kimberley,26138.4989
Cranbrook,Kimberley,26138.4989
Cranbrook,Fernie,55956.8001
Cranbrook,Fernie,55956.8001
Kimberley,Central Okanagan,251031.511
Kimberley,Vernon,240532.692
Kimberley,Armstrong/Spallumcheen,244030.321
Kimberley,Enderby,243509.683
Kimberley,Salmon Arm,260947.566
Kimberley,Southern Okanagan,261748.768
Kimberley,Grand Forks,189680.974
Kimberley,Keremeos,285241.828
Kimberley,Trail,138593.765
Kimberley,Kettle Valley,222557.036
Kimberley,Summerland,264773.603
Kimberley,Penticton,259794.504
Kimberley,Castlegar,127452.753
Kimberley,Creston,73791.1352
Kimberley,Revelstoke,213635.946
Kimberley,Golden,193659.616
Kimberley,Windermere,92750.7832
Kimberley,Arrow Lakes,134407.646
Kimberley,Kootenay Lake,75551.7172
Kimberley,Nelson,100346.535
Kimberley,Cranbrook,26138.4989
Kimberley,Cranbrook,26138.4989
Kimberley,Fernie,71605.6536
Windermere,Central Okanagan,255208.24
Windermere,Vernon,229218.485
Windermere,Armstrong/Spallumcheen,225187.879
Windermere,Enderby,216782.401
